Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,gts478,Ethernet49/1,161.1.0.1/31,spine,tg257,Ethernet3/32/1,161.1.0.0/31
l3leaf,gts478,Ethernet50/1,161.1.0.3/31,spine,tg294,Ethernet3/32/1,161.1.0.2/31
l3leaf,gts478,Ethernet51/1,161.1.0.5/31,spine,ph155,Ethernet3/5/1,161.1.0.4/31
l3leaf,gts478,Ethernet52/1,161.1.0.7/31,spine,ph156,Ethernet3/5/1,161.1.0.6/31
l3leaf,gts479,Ethernet49/1,161.1.0.9/31,spine,tg257,Ethernet4/31/1,161.1.0.8/31
l3leaf,gts479,Ethernet50/1,161.1.0.11/31,spine,tg294,Ethernet3/31/1,161.1.0.10/31
l3leaf,gts479,Ethernet51/1,161.1.0.13/31,spine,ph155,Ethernet3/6/1,161.1.0.12/31
l3leaf,gts479,Ethernet52/1,161.1.0.15/31,spine,ph156,Ethernet3/6/1,161.1.0.14/31
l3leaf,gts480,Ethernet49/1,161.1.0.17/31,spine,tg257,Ethernet3/24/1,161.1.0.16/31
l3leaf,gts480,Ethernet50/1,161.1.0.19/31,spine,tg294,Ethernet3/24/1,161.1.0.18/31
l3leaf,gts480,Ethernet51/1,161.1.0.21/31,spine,ph155,Ethernet3/13/1,161.1.0.20/31
l3leaf,gts480,Ethernet52/1,161.1.0.23/31,spine,ph156,Ethernet3/13/1,161.1.0.22/31
l3leaf,gts481,Ethernet49/1,161.1.0.25/31,spine,tg257,Ethernet4/23/1,161.1.0.24/31
l3leaf,gts481,Ethernet50/1,161.1.0.27/31,spine,tg294,Ethernet3/23/1,161.1.0.26/31
l3leaf,gts481,Ethernet51/1,161.1.0.29/31,spine,ph155,Ethernet3/14/1,161.1.0.28/31
l3leaf,gts481,Ethernet52/1,161.1.0.31/31,spine,ph156,Ethernet3/14/1,161.1.0.30/31
l3leaf,hs426,Ethernet49/1,161.1.0.49/31,spine,tg257,Ethernet3/22/1,161.1.0.48/31
l3leaf,hs426,Ethernet50/1,161.1.0.51/31,spine,tg294,Ethernet3/22/1,161.1.0.50/31
l3leaf,hs426,Ethernet51/1,161.1.0.53/31,spine,ph155,Ethernet3/22/1,161.1.0.52/31
l3leaf,hs426,Ethernet52/1,161.1.0.55/31,spine,ph156,Ethernet3/22/1,161.1.0.54/31
l3leaf,hs447,Ethernet1,162.5.1.0/31,l3leaf,kn254,Ethernet1,162.5.1.1/31
l3leaf,hs447,Ethernet2,162.5.1.2/31,l3leaf,kn255,Ethernet1,162.5.1.3/31
l3leaf,hs447,Ethernet49/1,161.1.0.33/31,spine,tg257,Ethernet4/19/1,161.1.0.32/31
l3leaf,hs447,Ethernet50/1,161.1.0.35/31,spine,tg294,Ethernet3/19/1,161.1.0.34/31
l3leaf,hs447,Ethernet51/1,161.1.0.37/31,spine,ph155,Ethernet3/18/1,161.1.0.36/31
l3leaf,hs447,Ethernet52/1,161.1.0.39/31,spine,ph156,Ethernet3/18/1,161.1.0.38/31
l3leaf,hs448,Ethernet1,162.5.2.0/31,l3leaf,kn254,Ethernet2,162.5.2.1/31
l3leaf,hs448,Ethernet2,162.5.2.2/31,l3leaf,kn255,Ethernet2,162.5.2.3/31
l3leaf,hs448,Ethernet49/1,161.1.0.41/31,spine,tg257,Ethernet3/20/1,161.1.0.40/31
l3leaf,hs448,Ethernet50/1,161.1.0.43/31,spine,tg294,Ethernet3/20/1,161.1.0.42/31
l3leaf,hs448,Ethernet51/1,161.1.0.45/31,spine,ph155,Ethernet3/17/1,161.1.0.44/31
l3leaf,hs448,Ethernet52/1,161.1.0.47/31,spine,ph156,Ethernet3/17/1,161.1.0.46/31
l3leaf,kn254,Ethernet49/1,161.1.0.1/31,spine,kn261,Ethernet49/1,161.1.0.0/31
l3leaf,kn255,Ethernet49/1,161.1.0.3/31,spine,kn261,Ethernet50/1,161.1.0.2/31
spine,kn261,Ethernet51/1,161.1.0.4/31,l3leaf,kn271,Ethernet51/1,161.1.0.5/31
